0.788,0.711,0.812,0.827,0.815,0.752,0.763,0.884,0.865,0.864
0.833,0.000,0.891,0.878,0.926,0.792,0.685,0.789,0.780,0.775
0.000,0.338,0.519,0.471,0.481,0.495,0.282,0.603,0.614,0.619
0.000,0.000,0.591,0.592,0.596,0.510,0.051,0.611,0.559,0.638
0.000,0.286,0.421,0.458,0.537,0.481,0.258,0.494,0.578,0.463
0.259,0.000,0.555,0.411,0.417,0.930,0.691,0.788,0.935,0.735
0.624,0.000,0.893,0.394,0.337,0.994,0.584,0.822,0.994,0.994
0.461,0.000,0.362,0.318,0.435,0.936,0.715,0.936,0.936,0.936
0.619,0.000,0.739,0.749,0.757,0.632,0.605,0.624,0.633,0.624
0.377,0.000,0.564,0.589,0.514,0.543,0.529,0.553,0.505,0.548
0.000,0.385,0.397,0.395,0.536,0.568,0.459,0.562,0.529,0.514
0.228,0.231,0.811,0.595,0.663,0.341,0.000,0.341,0.342,0.523
0.274,0.200,0.639,0.677,0.768,0.929,0.672,0.788,0.744,0.885
0.855,0.000,0.879,0.898,0.896,0.862,0.856,0.864,0.890,0.844
0.841,0.306,0.828,0.804,0.836,0.822,0.792,0.825,0.820,0.838
0.634,0.844,0.628,0.748,0.737,0.678,0.623,0.778,0.797,0.718
0.688,0.643,0.921,0.902,0.908,0.653,0.543,0.581,0.547,0.548
0.703,0.000,0.722,0.718,0.703,0.701,0.595,0.699,0.685,0.695
0.996,0.081,0.996,0.996,0.996,0.991,0.994,0.992,0.996,0.996
1.000,0.996,0.996,0.996,0.996,0.983,0.800,0.800,0.937,0.937
0.719,0.161,0.703,0.695,0.758,0.873,0.814,0.829,0.821,0.803
0.959,0.120,0.885,0.907,0.888,0.962,0.958,0.954,0.965,0.957
0.135,0.000,0.127,0.063,0.125,0.364,0.013,0.456,0.439,0.363
0.399,0.000,0.700,0.108,0.108,0.393,0.172,0.905,0.885,0.846
0.063,0.000,0.126,0.089,0.000,0.346,0.138,0.661,0.577,0.602
0.000,0.000,0.000,0.000,0.000,0.182,0.112,0.754,0.727,0.751
0.332,0.000,0.216,0.000,0.354,0.432,0.611,0.850,0.882,0.864
0.000,0.000,0.000,0.000,0.000,0.564,0.513,0.745,0.723,0.749
0.456,0.501,0.693,0.692,0.692,0.206,0.621,0.669,0.670,0.679
0.282,0.384,0.897,0.896,0.907,0.446,0.680,0.894,0.912,0.905
0.000,0.000,0.000,0.000,0.000,0.811,0.927,0.941,0.966,0.964
